id,duration,text_raw,cleaned_text
0,4.56,رب گوجه‌فرنگی را اضافه کنید و کمی تفت دهید.,رب گوجه‌فرنگی را اضافه کنید و کمی تفت دهید.
1,7.8075,میرحسین موسوی در دانشگاه علم و صنعت ایران سال‌ها به تدریس معماری پرداخت.,میرحسین موسوی در دانشگاه علم و صنعت ایران سال‌ها به تدریس معماری پرداخت.
2,8.4,عده‌ای بی‌انصافی می‌کنند، از آزادی موجود استفاده می‌کنند و به دروغ می‌گویند آزادی وجود ندارد.,عده‌ای بی‌انصافی می‌کنند، از آزادی موجود استفاده می‌کنند و به دروغ می‌گویند آزادی وجود ندارد.
3,5.52,گفته‌های ایران مبنی بر تغییر مسیر هواپیمای اوکراینی مزخرف است.,گفته‌های ایران مبنی بر تغییر مسیر هواپیمای اوکراینی مزخرف است.
4,10.2,مزرعه‌داران در فصل برداشت محصول مشغول‌ترین دوران کاری خود را می‌گذرانند.,مزرعه‌داران در فصل برداشت محصول مشغول‌ترین دوران کاری خود را می‌گذرانند.
5,5.94,دیروز که دوستم رو وسط خیابون غیرمنتظره دیدم، حسابی جا خوردم!,دیروز که دوستم رو وسط خیابون غیرمنتظره دیدم، حسابی جا خوردم!
6,5.82,چند بازی آخر حسین کنعانی زیاد اشتباه کرد.,چند بازی آخر حسین کنعانی زیاد اشتباه کرد.
7,3.12,به‌خاطر همین یکم ناراحت بود.,به‌خاطر همین یکم ناراحت بود.
8,4.74,حالا متوجه دلیل این‌همه تغییر رفتار تو در محیط کار شدم.,حالا متوجه دلیل این‌همه تغییر رفتار تو در محیط کار شدم.
9,7.56,دیروز با دوستم رفتیم سینما و یه فیلم ترسناک دربارۀ مومیایی دیدیم.,دیروز با دوستم رفتیم سینما و یه فیلم ترسناک دربارۀ مومیایی دیدیم.
10,4.38,هم زیباست هم پرمعناست هم یک نظم ویژه‌ای دارد.,هم زیباست هم پرمعناست هم یک نظم ویژه‌ای دارد.
11,6.6,باشگاه پورتو با انتشار پوس‌تری جدایی مهدی طارمی را اعلام کرد.,باشگاه پورتو با انتشار پوس‌تری جدایی مهدی طارمی را اعلام کرد.
12,6.54,خودم دارم تلاشم رو می‌کنم که حواسم به دیگران باشه، پس ساکت شو!,خودم دارم تلاشم رو می‌کنم که حواسم به دیگران باشه، پس ساکت شو!
13,5.94,حمله اول حماس، مجازات جمعی ساکنان غزه را توجیه نمی‌کند.,حمله اول حماس، مجازات جمعی ساکنان غزه را توجیه نمی‌کند.
14,4.608,یک آبمیوه پرتقال خنک هم گذاشت توی کیفم.,یک آبمیوه پرتقال خنک هم گذاشت توی کیفم.
15,7.8,چرا ایران به قطعنامه مجمع عمومی سازمان ملل درباره اوکراین رای ممتنع داد؟,چرا ایران به قطعنامه مجمع عمومی سازمان ملل درباره اوکراین رای ممتنع داد؟
16,5.76,نزدیک بودن خانه‌شان به دبیرستان کمی بی‌انصافی بود.,نزدیک بودن خانه‌شان به دبیرستان کمی بی‌انصافی بود.
17,6.24,ایران سالانه میلیاردها دلار به لبنان و سوریه و فلسطین و یمن و افغانستان می‌ده,ایران سالانه میلیاردها دلار به لبنان و سوریه و فلسطین و یمن و افغانستان می‌ده
18,24.36,سرانجام در دی‌ماه ۱۳۳۸ چشم از جهان فرو بست، اما میراث عظیم او همچنان در شعر فارسی جریان دارد و نامش به عنوان نقطه عطفی در تاریخ ادبیات معاصر ثبت شده است.,سرانجام در دی‌ماه یک هزار و سیصد و سی و هشت چشم از جهان فرو بست، اما میراث عظیم او همچنان در شعر فارسی جریان دارد و نامش به عنوان نقطه عطفی در تاریخ ادبیات معاصر ثبت شده است.
19,1.86,والدین,والدین
20,4.821375,دیدم حاجی محمدحسن هم از وجود او در عذاب است.,دیدم حاجی محمدحسن هم از وجود او در عذاب است.
21,4.02,پنجره بسته و پر از بخار زمستانی,پنجره بسته و پر از بخار زمستانی
22,8.58,بدون ماشین و خیابان و دود، کاملا با انرژی تجدیدپذیر,بدون ماشین و خیابان و دود، کاملا با انرژی تجدیدپذیر
23,3.66,صدای نازک و خنده‌های کودکانه در کوچه,صدای نازک و خنده‌های کودکانه در کوچه
24,8.58,وی در طول جنگ ۲۰۲۳ اسرائیل و حماس، خواستار رفع محاصره جنایتکارانه در نوار غزه شده است.,وی در طول جنگ دو هزار و بیست و سه اسراییل و حماس، خواستار رفع محاصره جنایتکارانه در نوار غزه شده است.
25,4.92,از آن‌هایی که خانواده با افتخار درباره‌شان می‌گویند.,از آن‌هایی که خانواده با افتخار درباره‌شان می‌گویند.
26,5.1,همچنین قصد داشت روش‌های خلاقانۀ خودش را هم در آن بگنجاند.,همچنین قصد داشت روش‌های خلاقانۀ خودش را هم در آن بگنجاند.
27,2.28,از جایش بلند شد.,از جایش بلند شد.
