id,duration,text_raw,cleaned_text
11936,3.96,مردم هرچه داشتند و نداشتند را در آتش می‌سوزاندند.,مردم هرچه داشتند و نداشتند را در آتش می‌سوزاندند.
15277,4.74,اگه وقت داشتی، بریم بازی فنرباغچه رو با هم ببینیم.,اگه وقت داشتی، بریم بازی فنرباغچه رو با هم ببینیم.
34358,10.32,کنسرت موزیکال دیشب عالی بود، واقعا همه خوش گذشت.,کنسرت موزیکال دیشب عالی بود، واقعا همه خوش گذشت.
12899,3.66,توی هر سفری کلی چیز یاد می‌گیری.,توی هر سفری کلی چیز یاد می‌گیری.
31925,14.58,سینا پارسیان صدایی شناخته‌شده در نسل جدید خوانندگان پاپ است که با ترانه‌های آرام، ملایم و بسیار احساسی توانسته مخاطبان زیادی به‌ویژه میان جوانان پیدا کند.,سینا پارسیان صدایی شناخته‌شده در نسل جدید خوانندگان پاپ است که با ترانه‌های آرام، ملایم و بسیار احساسی توانسته مخاطبان زیادی به‌ویژه میان جوانان پیدا کند.
23377,13.44,روی آن مبل‌های راحتی که در وسط سالن، کنار هم چیده شده بود، یکی‌از مسافران چند گوش مفت پیدا کرده بود و خاطرات تور هفته پیش را برایشان تعریف می‌کرد.,روی آن مبل‌های راحتی که در وسط سالن، کنار هم چیده شده بود، یکی‌از مسافران چند گوش مفت پیدا کرده بود و خاطرات تور هفته پیش را برایشان تعریف می‌کرد.
24193,4.62,شروین تمام توانی را که برایش باقی‌مانده بود، به‌کار گرفت.,شروین تمام توانی را که برایش باقی‌مانده بود، به‌کار گرفت.
4858,7.92,فرآیند مومیایی کردن اجساد در گذشته‌های دور به دلایل مذهبی انجام می‌شد.,فرآیند مومیایی کردن اجساد در گذشته‌های دور به دلایل مذهبی انجام می‌شد.
29905,4.62,دوم اینکه، قلب و عروق رو هم تحت‌تاثیر قرار می‌ده.,دوم اینکه، قلب و عروق رو هم تحت‌تاثیر قرار می‌ده.
32059,5.52,فریاد برآورد، فریاد پدری که جگرگوشه‌اش را به دست خود کشته است.,فریاد برآورد، فریاد پدری که جگرگوشه‌اش را به دست خود کشته است.
22172,3.48,مطالبات به‌حق کارگران,مطالبات به‌حق کارگران
25983,11.94,آن‌ها به خطوط خوشنویسی روی کاشی‌ها اشاره کرده‌اند و نوشته‌های بناها را امتداد کلمات شاعرانه دانسته‌اند.,آن‌ها به خطوط خوشنویسی روی کاشی‌ها اشاره کرده‌اند و نوشته‌های بناها را امتداد کلمات شاعرانه دانسته‌اند.
27151,5.28,تو این کلاس عروض، یاد گرفتیم که چطور بیت‌های شعر رو تقطیع کنیم.,تو این کلاس عروض، یاد گرفتیم که چطور بیت‌های شعر رو تقطیع کنیم.
5155,4.5,اسامی این میوه‌ها را بهتر بشناسیم,اسامی این میوه‌ها را بهتر بشناسیم
33327,1.92,منم همینو شنیده بودم,منم همینو شنیده بودم
28726,3.66,محبتش واقعی و عاری از هرگونه ریا بود.,محبتش واقعی و عاری از هرگونه ریا بود.
25442,4.92,عکس‌های جعفر رجب‌زاده از این کوه‌ها را می‌بینید.,عکس‌های جعفر رجب‌زاده از این کوه‌ها را می‌بینید.
